review_id,place,stars,gt,year,era,trip_date,trip_type,written_date,llm_sentiment,llm_score,llm_emotion,llm_safety,llm_pricing,llm_service,llm_cleanliness,llm_atmosphere,llm_problems,llm_price_perception,llm_recommendation,llm_revisit,llm_keywords
35,medina,4.0,Positive,2025,Post-COVID,Nov 2025,Couples,"Written November 10, 2025",Negative,2,Frustration,Negative,Negative,Negative,Not_mentioned,Negative,"[""Aggressive_vendors"", ""High_prices"", ""Overcrowding""]",Expensive,No,Not_mentioned,"[""chaotic traffic"", ""aggressive vendors"", ""rip off"", ""haggling""]"
36,medina,5.0,Positive,2025,Post-COVID,Oct 2025,Couples,"Written November 9, 2025",Positive,4,Joy,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""chaos"", ""noise"", ""traffic"", ""special"", ""different""]"
37,medina,3.0,Neutral,2025,Post-COVID,Nov 2025,Friends,"Written November 7, 2025",Positive,4,Joy,Negative,Negative,Negative,Not_mentioned,Positive,"[""Scam"", ""Aggressive_vendors"", ""Overcrowding""]",Not_mentioned,Yes,Not_mentioned,"[""must visit"", ""crowded"", ""stalls"", ""scam""]"
38,medina,2.0,Negative,2025,Post-COVID,Oct 2025,,"Written November 5, 2025",Negative,1,Anger,Negative,Not_mentioned,Not_mentioned,Negative,Negative,"[""Safety"", ""Overcrowding"", ""Bad_smell""]",Not_mentioned,No,Not_mentioned,"[""unsafe"", ""motorcycles"", ""congestion"", ""exhaust""]"
39,medina,4.0,Positive,2025,Post-COVID,Nov 2025,,"Written November 5, 2025",Neutral,3,Caution,Not_mentioned,Neutral,Negative,Not_mentioned,Positive,"[""Aggressive_vendors"", ""Poor_condition""]",Not_mentioned,Yes,Not_mentioned,"[""mad"", ""chaotic"", ""must-see"", ""aggressive"", ""haggling""]"
40,medina,4.0,Positive,2025,Post-COVID,Nov 2025,Solo,"Written November 4, 2025",Positive,4,Relief,Positive,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""not bothered"", ""fine"", ""souvenirs"", ""spices""]"
41,medina,2.0,Negative,2025,Post-COVID,Nov 2025,Couples,"Written November 2, 2025",Negative,1,Anger,Negative,Not_mentioned,Not_mentioned,Negative,Negative,"[""Safety"", ""Bad_smell"", ""Overcrowding""]",Not_mentioned,No,No,"[""mopeds"", ""dangerous"", ""exhaust smell"", ""unbearable""]"
42,medina,5.0,Positive,2025,Post-COVID,Nov 2025,Friends,"Written November 1, 2025",Positive,4,Joy,Neutral,Not_mentioned,Not_mentioned,Positive,Positive,"[""Poor_condition""]",Not_mentioned,Yes,Not_mentioned,"[""charming"", ""clean"", ""spacious"", ""wifi""]"
43,medina,5.0,Positive,2025,Post-COVID,Oct 2025,Couples,"Written October 31, 2025",Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""vibrant"", ""markets"", ""chaos"", ""unforgettable""]"
44,medina,1.0,Negative,2025,Post-COVID,,,"Written October 27, 2025",Negative,1,Anger,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Safety"", ""Scam""]",Not_mentioned,No,No,"[""robbed"", ""scooter"", ""disgraceful"", ""unsafe""]"
45,medina,5.0,Positive,2025,Post-COVID,Oct 2025,Friends,"Written October 25, 2025",Neutral,3,Caution,Negative,Neutral,Negative,Not_mentioned,Neutral,"[""Aggressive_vendors"", ""Safety""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""shopping"", ""haggling"", ""vendors"", ""misunderstandings""]"
46,medina,5.0,Positive,2025,Post-COVID,Oct 2025,,"Written October 22, 2025",Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Not_mentioned,Not_mentioned,"[""nice"", ""helpful guide"", ""pleasant trip"", ""great show""]"
47,medina,1.0,Negative,2025,Post-COVID,Oct 2025,Solo,"Written October 20, 2025",Negative,1,Sadness,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,"[""Poor_condition"", ""Other""]",Not_mentioned,No,Not_mentioned,"[""distressing"", ""donkey"", ""animal cruelty"", ""poor condition"", ""exhaustion""]"
48,medina,3.0,Neutral,2025,Post-COVID,Oct 2025,Couples,"Written October 19, 2025",Negative,2,Frustration,Negative,Not_mentioned,Not_mentioned,Negative,Neutral,"[""Overcrowding"", ""Safety"", ""Other""]",Not_mentioned,No,Not_mentioned,"[""mopeds"", ""pollution"", ""accidents"", ""narrow streets""]"
49,medina,4.0,Positive,2025,Post-COVID,Jul 2025,,"Written October 14, 2025",Positive,4,Frustration,Not_mentioned,Neutral,Negative,Not_mentioned,Positive,"[""Aggressive_vendors""]",Not_mentioned,Yes,Not_mentioned,"[""worth visiting"", ""great experience"", ""aggressive locals"", ""asking price""]"
50,medina,3.0,Neutral,2025,Post-COVID,Oct 2025,Friends,"Written October 11, 2025",Negative,2,Sadness,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Poor_condition""]",Not_mentioned,No,Not_mentioned,"[""earthquake damage"", ""closed off"", ""construction"", ""no atmosphere""]"
51,medina,4.0,Positive,2025,Post-COVID,Oct 2025,,"Written October 10, 2025",Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,"[""Aggressive_vendors""]",Not_mentioned,Yes,Not_mentioned,"[""photographer"", ""locals"", ""stalls"", ""tiring"", ""interesting""]"
52,medina,4.0,Positive,2025,Post-COVID,Oct 2025,Couples,"Written October 7, 2025",Neutral,3,Disappointment,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Other""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""beautiful medina"", ""restricted access"", ""Muslims only""]"
53,medina,4.0,Positive,2025,Post-COVID,Oct 2025,Couples,"Written October 7, 2025",Positive,5,Joy,Not_mentioned,Positive,Positive,Not_mentioned,Positive,"[""Navigation_difficulty""]",Fair,Yes,Not_mentioned,"[""hospitable"", ""friendly"", ""reasonable price"", ""natural products"", ""hellish taxi""]"
54,medina,5.0,Positive,2025,Post-COVID,Sep 2025,Friends,"Written September 30, 2025",Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Yes,"[""must visit"", ""souks"", ""haggling"", ""worth it""]"
55,medina,4.0,Positive,2025,Post-COVID,Jan 2025,Couples,"Written September 28, 2025",Positive,4,Surprise,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Positive,"[""Other""]",Not_mentioned,Yes,Not_mentioned,"[""World Heritage Site"", ""architectural treasures"", ""cultural treasures"", ""no bargaining""]"
56,medina,5.0,Positive,2025,Post-COVID,,,"Written September 14, 2025",Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""amazing"", ""old city"", ""history"", ""hand looms""]"
57,medina,3.0,Neutral,2025,Post-COVID,Sep 2025,Couples,"Written September 12, 2025",Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,"[""Navigation_difficulty"", ""Aggressive_vendors""]",Not_mentioned,No,No,"[""dropped off far"", ""hassled"", ""not impressed"", ""narrow streets""]"
58,medina,4.0,Positive,2025,Post-COVID,Sep 2025,Couples,"Written September 11, 2025",Neutral,3,Neutral,Not_mentioned,Not_mentioned,Neutral,Negative,Neutral,"[""Bad_smell"", ""Poor_cleanliness"", ""Other""]",Not_mentioned,Yes,Not_mentioned,"[""essential experience"", ""narrow lanes"", ""bad smells"", ""rats"", ""guide recommended""]"
59,medina,1.0,Negative,2025,Post-COVID,Aug 2025,,"Written August 21, 2025",Negative,1,Disgust,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,"[""Other"", ""Scam""]",Not_mentioned,No,No,"[""hated"", ""beautiful architecture"", ""horrible"", ""animal cruelty"", ""tourist traps""]"
60,medina,4.0,Positive,2025,Post-COVID,,,"Written August 20, 2025",Neutral,3,Frustration,Not_mentioned,Neutral,Negative,Not_mentioned,Neutral,"[""Aggressive_vendors"", ""Other""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""bustling souk"", ""haggling"", ""fake goods"", ""hassle"", ""food tour""]"
61,medina,3.0,Neutral,2025,Post-COVID,Jul 2025,Couples,"Written August 18, 2025",Negative,2,Frustration,Negative,Negative,Negative,Negative,Negative,"[""Aggressive_vendors"", ""Safety"", ""Poor_cleanliness""]",Not_mentioned,No,No,"[""overwhelming"", ""frightening"", ""aggressive"", ""haggle"", ""avoid""]"
62,medina,5.0,Positive,2025,Post-COVID,Jan 2025,,"Written August 8, 2025",Neutral,3,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Overcrowding"", ""Other""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""exciting"", ""relentless"", ""souks"", ""scooters"", ""intensity""]"
63,medina,4.0,Positive,2025,Post-COVID,Aug 2025,Couples,"Written August 3, 2025",Negative,2,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Scam"", ""Navigation_difficulty""]",Not_mentioned,No,Not_mentioned,"[""confusing"", ""scam"", ""attempted scam"", ""around the corner""]"
64,medina,5.0,Positive,2025,Post-COVID,Aug 2025,,"Written August 2, 2025",Positive,5,Joy,Positive,Positive,Positive,Not_mentioned,Positive,"[""Navigation_difficulty""]",Fair,Yes,Not_mentioned,"[""super nice"", ""safe"", ""friendly"", ""prices listed"", ""not pushy""]"
65,medina,4.0,Positive,2025,Post-COVID,Aug 2024,,"Written July 30, 2025",Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Overcrowding"", ""Getting_lost""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""alternates"", ""crowds"", ""deserted alleys"", ""get lost"", ""Riads""]"
66,medina,2.0,Negative,2025,Post-COVID,,,"Written July 23, 2025",Negative,1,Disgust,Negative,Negative,Negative,Negative,Negative,"[""Poor_condition"", ""Poor_cleanliness"", ""Other""]",Expensive,No,No,"[""sloppy"", ""dirty"", ""not welcoming"", ""uncomfortable"", ""tourist is a wallet""]"
67,medina,2.0,Negative,2025,Post-COVID,,,"Written July 9, 2025",Negative,1,Sadness,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Poor_condition""]",Not_mentioned,No,No,"[""earthquake"", ""damage"", ""no longer frequentable"", ""difficult"", ""be careful""]"
68,medina,3.0,Neutral,2025,Post-COVID,Jun 2025,Couples,"Written July 7, 2025",Negative,2,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Safety""]",Not_mentioned,No,Not_mentioned,"[""beautiful"", ""unsafe"", ""afraid"", ""narrow streets"", ""selling""]"
69,medina,5.0,Positive,2025,Post-COVID,,,"Written June 28, 2025",Neutral,3,Neutral,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Positive,"[""Other""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""fun place"", ""alleyways"", ""motorbikes"", ""close calls"", ""less crowded""]"
70,medina,4.0,Positive,2025,Post-COVID,Jun 2025,Friends,"Written June 21, 2025",Positive,5,Surprise,Positive,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""relaxed"", ""not harassed"", ""safe"", ""worth a visit"", ""good restaurants""]"
71,medina,1.0,Negative,2025,Post-COVID,Jun 2025,Couples,"Written June 15, 2025",Negative,1,Anger,Negative,Negative,Negative,Not_mentioned,Negative,"[""Aggressive_vendors"", ""Safety""]",Not_mentioned,No,Not_mentioned,"[""manhandled"", ""aggressive"", ""forced"", ""henna"", ""be warned""]"
72,medina,5.0,Positive,2025,Post-COVID,Jun 2025,Business,"Written June 14, 2025",Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""great city"", ""red city"", ""beautiful grounds"", ""never regret"", ""in love""]"
73,medina,5.0,Positive,2025,Post-COVID,,,"Written June 12, 2025",Positive,4,Trust,Positive,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""shouldn't miss"", ""alleyways"", ""shop"", ""meet locals"", ""safe""]"
74,medina,3.0,Neutral,2025,Post-COVID,Jun 2025,Couples,"Written June 12, 2025",Neutral,3,Neutral,Neutral,Neutral,Positive,Negative,Positive,"[""Other""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""treasures"", ""friendly"", ""vigilant"", ""pollution"", ""well organized""]"
75,medina,2.0,Negative,2025,Post-COVID,Mar 2025,Couples,"Written June 10, 2025",Negative,1,Anger,Negative,Negative,Negative,Not_mentioned,Negative,"[""High_prices"", ""Scam"", ""Getting_lost""]",Expensive,No,No,"[""overrated"", ""rip you off"", ""dishonest"", ""get lost"", ""zero tourism""]"
76,medina,4.0,Positive,2025,Post-COVID,May 2025,Couples,"Written June 7, 2025",Neutral,3,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Positive,"[""Aggressive_vendors"", ""Overcrowding"", ""Safety""]",Not_mentioned,Not_mentioned,Yes,"[""Marrakech"", ""medina"", ""fabulous"", ""pushy sellers"", ""mopeds""]"
77,medina,1.0,Negative,2025,Post-COVID,May 2025,Friends,"Written May 30, 2025",Negative,1,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Safety"", ""Other""]",Not_mentioned,No,No,"[""sexual assault"", ""harassed"", ""unsafe"", ""vigilant"", ""women""]"
78,medina,4.0,Positive,2025,Post-COVID,,,"Written May 29, 2025",Neutral,3,Neutral,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Overcrowding"", ""Navigation_difficulty""]",Not_mentioned,Yes,Not_mentioned,"[""medina"", ""narrow alleys"", ""souks"", ""crowded"", ""visit""]"
79,medina,1.0,Negative,2025,Post-COVID,May 2025,Couples,"Written May 22, 2025",Negative,1,Disgust,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Negative,"[""Poor_cleanliness"", ""Bad_smell"", ""Other""]",Not_mentioned,No,No,"[""disappointed"", ""filthy"", ""smelly"", ""lack of hygiene"", ""rotten meat""]"
80,medina,1.0,Negative,2025,Post-COVID,May 2025,Couples,"Written May 21, 2025",Negative,1,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Safety"", ""Other""]",Not_mentioned,No,No,"[""unsafe"", ""knife"", ""shock"", ""moped"", ""robbery""]"
81,medina,4.0,Positive,2025,Post-COVID,May 2025,,"Written May 21, 2025",Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,"[""Aggressive_vendors""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""beautiful"", ""pressured"", ""haggle"", ""clothing"", ""square""]"
82,medina,2.0,Negative,2025,Post-COVID,May 2025,Couples,"Written May 20, 2025",Negative,1,Anger,Not_mentioned,Negative,Negative,Not_mentioned,Negative,"[""Scam"", ""High_prices"", ""Poor_condition""]",Expensive,No,No,"[""scam"", ""food vendors"", ""mediocre"", ""bad food"", ""deceptive""]"
83,medina,4.0,Positive,2025,Post-COVID,May 2025,Couples,"Written May 15, 2025",Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""authentic"", ""cultural diversity"", ""enriching"", ""amusing"", ""experience""]"
84,medina,5.0,Positive,2025,Post-COVID,May 2025,,"Written May 12, 2025",Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""awesome"", ""Medina"", ""main square"", ""must see"", ""busier""]"
85,medina,5.0,Positive,2025,Post-COVID,May 2025,Couples,"Written May 11, 2025",Positive,5,Joy,Positive,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""friendly"", ""safe"", ""exceptional"", ""change of scenery"", ""medina""]"
86,medina,5.0,Positive,2025,Post-COVID,,,"Written May 9, 2025",Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,[],Not_mentioned,Not_mentioned,Not_mentioned,"[""evolves"", ""tourism"", ""medina"", ""change of scenery"", ""bustle""]"
87,medina,5.0,Positive,2025,Post-COVID,May 2025,Couples,"Written May 9, 2025",Positive,5,Joy,Positive,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Yes,"[""incredible"", ""warm"", ""engaging"", ""people"", ""positive experience""]"
88,medina,4.0,Positive,2025,Post-COVID,Apr 2025,,"Written May 9, 2025",Positive,4,Joy,Not_mentioned,Neutral,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""medina"", ""souks"", ""bargaining"", ""pleasant"", ""traders""]"
