row_id,Site,Stars,G_Sent,G_Score,G_Emotion,G_Safety,G_Pricing,G_Service,G_Cleanl.,G_Atmosph.,G_Problems,G_Price,G_Recom.,G_Revisit,C_Sent,C_Score,C_Emotion,C_Safety,C_Pricing,C_Service,C_Cleanl.,C_Atmosph.,C_Problems,C_Price,C_Recom.,C_Revisit
7767,medina,5,Positive,4,Surprise,Neutral,Not_mentioned,Negative,Not_mentioned,Positive,Aggressive_vendors,Not_mentioned,Yes,Not_mentioned,Positive,4,Joy,Neutral,Not_mentioned,Negative,Not_mentioned,Positive,"Aggressive_vendors, Scam",Not_mentioned,Yes,Not_mentioned
12929,bahia,5,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,"Poor_condition, Overcrowding",Not_mentioned,Not_mentioned,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,Overcrowding,Not_mentioned,Yes,Not_mentioned
13759,bahia,4,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned
10267,bahia,4,Negative,2,Other,Not_mentioned,Neutral,Not_mentioned,Not_mentioned,Negative,—,Not_mentioned,No,No,Negative,2,Other,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Negative,Other,Expensive,No,Not_mentioned
11437,bahia,5,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,—,Cheap,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,—,Cheap,Yes,Not_mentioned
10989,bahia,5,Positive,4,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned
11189,bahia,5,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,—,Fair,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,—,Fair,Yes,Not_mentioned
10330,bahia,5,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned
13301,bahia,5,Positive,4,Neutral,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned
13083,bahia,4,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Other,Not_mentioned,No,Not_mentioned,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Other,Not_mentioned,Not_mentioned,Not_mentioned
14069,bahia,4,Positive,4,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,Overcrowding,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,Overcrowding,Not_mentioned,Yes,Not_mentioned
11941,bahia,4,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Not_mentioned,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned
10548,bahia,5,Positive,4,Joy,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Positive,—,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned
10301,bahia,5,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned
14094,bahia,4,Positive,4,Joy,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,"Getting_lost, Other",Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,Getting_lost,Not_mentioned,Yes,Not_mentioned
13118,bahia,4,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,—,Cheap,Not_mentioned,Not_mentioned,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,—,Cheap,Not_mentioned,Not_mentioned
11417,bahia,5,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,—,Cheap,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,—,Cheap,Yes,Not_mentioned
10625,bahia,4,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"Poor_condition, Overcrowding",Not_mentioned,Yes,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,Other,Not_mentioned,Yes,Not_mentioned
1784,medina,3,Negative,2,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Negative,"Overcrowding, Aggressive_vendors, Scam",Not_mentioned,No,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,"Overcrowding, Aggressive_vendors",Not_mentioned,Not_mentioned,Not_mentioned
2788,medina,3,Negative,1,Anger,Negative,Negative,Negative,Not_mentioned,Negative,"Safety, Aggressive_vendors, Overcrowding",Expensive,No,No,Negative,2,Anger,Negative,Negative,Negative,Not_mentioned,Negative,"Aggressive_vendors, Safety, Scam",Expensive,No,No
4280,medina,3,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,Aggressive_vendors,Not_mentioned,No,Not_mentioned,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,Aggressive_vendors,Not_mentioned,No,Not_mentioned
2603,medina,3,Neutral,3,Disgust,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"Overcrowding, Other",Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"Overcrowding, Other",Not_mentioned,Not_mentioned,Not_mentioned
741,medina,3,Negative,2,Disgust,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,"Aggressive_vendors, Other",Not_mentioned,No,Not_mentioned,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,"Aggressive_vendors, Scam, Other",Not_mentioned,No,Not_mentioned
4585,medina,3,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,Other,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,Other,Not_mentioned,Not_mentioned,Not_mentioned
2412,medina,3,Neutral,3,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Positive,Safety,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Positive,Safety,Not_mentioned,Not_mentioned,Not_mentioned
915,medina,3,Negative,3,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Neutral,Overcrowding,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Sadness,Negative,Not_mentioned,Not_mentioned,Negative,Negative,"Bad_smell, Safety, Overcrowding",Not_mentioned,Not_mentioned,Yes
449,medina,3,Positive,4,Joy,Not_mentioned,Neutral,Neutral,Not_mentioned,Positive,Other,Not_mentioned,Yes,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Positive,"Aggressive_vendors, Other",Not_mentioned,Yes,Not_mentioned
4943,medina,3,Neutral,3,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Neutral,"Overcrowding, Scam, Navigation_difficulty",Not_mentioned,No,No,Negative,2,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Negative,"Aggressive_vendors, Scam, Navigation_difficulty",Not_mentioned,No,Not_mentioned
3003,medina,3,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"Overcrowding, Bad_smell",Not_mentioned,Yes,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"Overcrowding, Bad_smell",Not_mentioned,Yes,Not_mentioned
3753,medina,3,Neutral,3,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Positive,"Scam, Aggressive_vendors, Other",Not_mentioned,Yes,Not_mentioned,Neutral,3,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Positive,"Scam, Aggressive_vendors, Other",Not_mentioned,Yes,Not_mentioned
515,medina,3,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned
801,medina,3,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,"Aggressive_vendors, Overcrowding",Not_mentioned,Not_mentioned,No,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,"Aggressive_vendors, Overcrowding",Not_mentioned,Not_mentioned,Not_mentioned
7496,medina,3,Negative,1,Frustration,Negative,Negative,Negative,Not_mentioned,Not_mentioned,"High_prices, Scam",Expensive,No,Not_mentioned,Negative,2,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Not_mentioned,"High_prices, Scam",Expensive,Not_mentioned,Not_mentioned
5491,medina,3,Negative,2,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Negative,"Aggressive_vendors, Safety, Navigation_difficulty",Not_mentioned,No,No,Negative,2,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Negative,"Aggressive_vendors, Safety, Navigation_difficulty",Not_mentioned,No,No
11059,bahia,3,Neutral,2,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned
10495,bahia,3,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,Other,Not_mentioned,Not_mentioned,Not_mentioned
14359,bahia,3,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,Other,Not_mentioned,Not_mentioned,Not_mentioned
10939,bahia,3,Neutral,3,Other,Not_mentioned,Not_mentioned,Negative,Neutral,Negative,Poor_condition,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Negative,Neutral,Negative,"Poor_condition, Other",Not_mentioned,Not_mentioned,Not_mentioned
10259,bahia,3,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,Overcrowding,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,"Overcrowding, Other",Not_mentioned,Not_mentioned,Not_mentioned
13763,bahia,3,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned
13233,bahia,3,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned
12225,bahia,3,Negative,2,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,—,Not_mentioned,Not_mentioned,Not_mentioned,Negative,2,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,—,Not_mentioned,No,Not_mentioned
14499,bahia,3,Negative,2,Neutral,Not_mentioned,Neutral,Not_mentioned,Not_mentioned,Negative,Other,Cheap,No,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Negative,Other,Cheap,Not_mentioned,Not_mentioned
9087,bahia,3,Negative,2,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Positive,"Poor_condition, High_prices",Expensive,No,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Neutral,"Poor_condition, High_prices",Expensive,Not_mentioned,Not_mentioned
11929,bahia,3,Neutral,3,Frustration,Not_mentioned,Neutral,Negative,Not_mentioned,Neutral,"Poor_condition, Other",Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,Other,Not_mentioned,Not_mentioned,Not_mentioned
13815,bahia,3,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,"Poor_condition, Other",Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,"Poor_condition, Other",Not_mentioned,Not_mentioned,Not_mentioned
14794,bahia,3,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned
11046,bahia,3,Negative,2,Other,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Other,Not_mentioned,No,No,Negative,2,Sadness,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Other,Not_mentioned,No,No
13386,bahia,3,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,Other,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,Other,Not_mentioned,Yes,Not_mentioned
9032,bahia,3,Negative,2,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Neutral,"Poor_condition, Overcrowding, High_prices",Expensive,No,Not_mentioned,Negative,2,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Neutral,"Poor_condition, Overcrowding, High_prices",Expensive,No,Not_mentioned
12615,bahia,3,Positive,4,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,—,Cheap,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,—,Cheap,Yes,Not_mentioned
2220,medina,1,Negative,1,Frustration,Negative,Not_mentioned,Negative,Negative,Negative,"Overcrowding, Aggressive_vendors",Not_mentioned,No,No,Negative,1,Disgust,Negative,Not_mentioned,Negative,Negative,Negative,"Overcrowding, Aggressive_vendors, Scam, Safety, Other",Not_mentioned,No,No
8011,medina,2,Negative,2,Frustration,Positive,Not_mentioned,Negative,Not_mentioned,Negative,"Aggressive_vendors, Other",Not_mentioned,No,No,Negative,2,Frustration,Positive,Not_mentioned,Negative,Not_mentioned,Negative,"Aggressive_vendors, Scam",Not_mentioned,No,No
1886,medina,1,Negative,1,Fear,Negative,Negative,Negative,Not_mentioned,Negative,"Getting_lost, Aggressive_vendors, Safety",Expensive,No,Not_mentioned,Negative,1,Fear,Negative,Negative,Negative,Not_mentioned,Negative,"Getting_lost, Scam, Safety, Aggressive_vendors",Expensive,No,Not_mentioned
2688,medina,1,Negative,1,Anger,Negative,Not_mentioned,Negative,Negative,Negative,"Poor_condition, Safety, Other",Not_mentioned,No,No,Negative,1,Anger,Negative,Not_mentioned,Negative,Negative,Negative,"Poor_condition, Bad_smell, Safety, Scam",Not_mentioned,No,No
2569,medina,1,Negative,2,Frustration,Negative,Negative,Negative,Negative,Negative,"Bad_smell, Overcrowding, Aggressive_vendors",Not_mentioned,No,No,Negative,2,Disgust,Negative,Not_mentioned,Negative,Negative,Negative,"Bad_smell, Overcrowding, Aggressive_vendors, Other",Not_mentioned,No,No
1411,medina,2,Negative,1,Fear,Negative,Not_mentioned,Negative,Not_mentioned,Negative,"Scam, Getting_lost, Safety",Not_mentioned,No,No,Negative,1,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"Scam, Getting_lost, Safety",Not_mentioned,No,No
7446,medina,1,Negative,1,Disgust,Negative,Not_mentioned,Not_mentioned,Negative,Negative,"Poor_condition, Safety, Overcrowding",Not_mentioned,No,No,Negative,1,Disgust,Negative,Not_mentioned,Negative,Negative,Negative,"Poor_condition, Bad_smell, Safety, Scam, Other",Not_mentioned,No,No
1055,medina,2,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,Aggressive_vendors,Not_mentioned,No,No,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,Aggressive_vendors,Not_mentioned,No,Not_mentioned
6653,medina,2,Negative,2,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Negative,"Aggressive_vendors, High_prices",Expensive,No,No,Negative,2,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Not_mentioned,"High_prices, Other",Expensive,No,Not_mentioned
1880,medina,1,Negative,1,Disgust,Negative,Negative,Negative,Negative,Negative,"Aggressive_vendors, Safety",Expensive,No,No,Negative,1,Disgust,Negative,Negative,Negative,Negative,Negative,"Aggressive_vendors, Scam, Safety, Poor_condition",Expensive,No,No
8443,medina,2,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned
947,medina,2,Negative,2,Disgust,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Neutral,Getting_lost,Not_mentioned,No,No,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Negative,"Getting_lost, Other",Not_mentioned,No,Not_mentioned
7994,medina,2,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,Aggressive_vendors,Not_mentioned,Yes,No,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,Aggressive_vendors,Not_mentioned,Yes,Not_mentioned
294,medina,1,Negative,1,Anger,Negative,Negative,Negative,Not_mentioned,Negative,"Aggressive_vendors, Scam, High_prices",Expensive,No,No,Negative,1,Anger,Not_mentioned,Negative,Negative,Not_mentioned,Negative,"Aggressive_vendors, Scam, High_prices",Expensive,No,Not_mentioned
8582,medina,2,Negative,1,Disgust,Not_mentioned,Negative,Negative,Negative,Negative,"Poor_condition, Aggressive_vendors",Expensive,No,No,Negative,1,Disgust,Not_mentioned,Not_mentioned,Negative,Negative,Negative,"Poor_condition, Bad_smell, Aggressive_vendors",Not_mentioned,No,No
5807,medina,1,Negative,2,Sadness,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,"Other, Aggressive_vendors",Not_mentioned,No,Not_mentioned,Negative,2,Sadness,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,"Aggressive_vendors, Other",Not_mentioned,No,Not_mentioned
9156,bahia,2,Negative,1,Anger,Not_mentioned,Negative,Negative,Not_mentioned,Negative,"Other, Poor_condition, Scam",Expensive,No,No,Negative,1,Anger,Not_mentioned,Negative,Negative,Not_mentioned,Negative,"Poor_condition, Scam, Other",Expensive,No,No
8976,bahia,1,Negative,1,Frustration,Negative,Negative,Negative,Not_mentioned,Negative,"Poor_condition, High_prices, Safety",Expensive,No,Not_mentioned,Negative,1,Frustration,Negative,Negative,Negative,Not_mentioned,Negative,"Poor_condition, High_prices, Safety, Other",Expensive,No,Not_mentioned
13298,bahia,2,Neutral,3,Frustration,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Negative,Other,Cheap,No,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Neutral,Other,Cheap,Not_mentioned,Not_mentioned
10131,bahia,2,Negative,1,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Negative,High_prices,Expensive,No,Not_mentioned,Negative,2,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Negative,"High_prices, Other",Expensive,No,Not_mentioned
12063,bahia,1,Negative,1,Anger,Negative,Not_mentioned,Negative,Not_mentioned,Negative,"Safety, Other",Not_mentioned,No,No,Negative,1,Anger,Negative,Not_mentioned,Negative,Not_mentioned,Negative,"Other, Safety",Not_mentioned,No,No
14835,bahia,2,Negative,2,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,—,Not_mentioned,No,No,Negative,2,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,—,Not_mentioned,No,No
13632,bahia,2,Negative,1,Frustration,Not_mentioned,Neutral,Negative,Not_mentioned,Negative,"Poor_condition, Navigation_difficulty",Cheap,No,No,Negative,1,Sadness,Not_mentioned,Neutral,Negative,Not_mentioned,Negative,"Poor_condition, Other",Cheap,No,No
10533,bahia,2,Negative,2,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Negative,"Overcrowding, Poor_condition, High_prices",Expensive,No,No,Negative,2,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Negative,"Overcrowding, Poor_condition, High_prices",Expensive,No,No
