row_id,vader_full,vader_trunc,bert_stars_full,bert_stars_trunc,bert_full,bert_trunc
335,Positive,Positive,4,4,Positive,Positive
336,Neutral,Neutral,5,5,Positive,Positive
337,Positive,Neutral,2,2,Negative,Negative
338,Positive,Positive,4,4,Positive,Positive
339,Positive,Positive,4,4,Positive,Positive
340,Negative,Negative,1,1,Negative,Negative
341,Positive,Positive,4,4,Positive,Positive
342,Positive,Positive,5,5,Positive,Positive
343,Negative,Negative,1,1,Negative,Negative
344,Positive,Negative,5,1,Positive,Negative
345,Positive,Positive,5,5,Positive,Positive
346,Positive,Positive,5,5,Positive,Positive
347,Positive,Positive,4,4,Positive,Positive
348,Negative,Negative,1,2,Negative,Negative
349,Positive,Positive,4,4,Positive,Positive
350,Negative,Negative,2,2,Negative,Negative
351,Neutral,Neutral,4,4,Positive,Positive
352,Negative,Negative,2,2,Negative,Negative
353,Positive,Positive,4,4,Positive,Positive
354,Negative,Negative,1,1,Negative,Negative
355,Neutral,Neutral,5,5,Positive,Positive
356,Positive,Positive,5,5,Positive,Positive
357,Positive,Positive,5,5,Positive,Positive
358,Positive,Positive,4,4,Positive,Positive
359,Positive,Positive,4,4,Positive,Positive
360,Negative,Negative,4,4,Positive,Positive
361,Positive,Positive,3,3,Neutral,Neutral
362,Negative,Negative,1,1,Negative,Negative
363,Positive,Positive,5,5,Positive,Positive
364,Positive,Positive,4,4,Positive,Positive
365,Positive,Positive,3,3,Neutral,Neutral
366,Positive,Positive,2,2,Negative,Negative
367,Positive,Positive,4,4,Positive,Positive
368,Negative,Negative,5,5,Positive,Positive
369,Negative,Negative,2,2,Negative,Negative
370,Positive,Positive,2,2,Negative,Negative
371,Positive,Positive,4,4,Positive,Positive
372,Positive,Negative,2,3,Negative,Neutral
373,Negative,Negative,2,2,Negative,Negative
374,Positive,Positive,4,4,Positive,Positive
375,Positive,Positive,3,3,Neutral,Neutral
376,Negative,Negative,1,2,Negative,Negative
377,Negative,Negative,5,5,Positive,Positive
378,Negative,Negative,1,1,Negative,Negative
379,Positive,Positive,4,4,Positive,Positive
380,Positive,Positive,5,5,Positive,Positive
381,Positive,Positive,5,5,Positive,Positive
382,Positive,Positive,4,4,Positive,Positive
383,Negative,Negative,2,2,Negative,Negative
384,Negative,Negative,1,2,Negative,Negative
385,Negative,Negative,1,1,Negative,Negative
386,Positive,Positive,4,4,Positive,Positive
387,Neutral,Neutral,1,1,Negative,Negative
388,Positive,Positive,5,5,Positive,Positive
389,Positive,Positive,4,4,Positive,Positive
390,Positive,Positive,5,5,Positive,Positive
391,Positive,Positive,2,2,Negative,Negative
392,Neutral,Neutral,5,5,Positive,Positive
393,Positive,Positive,4,4,Positive,Positive
394,Negative,Negative,4,4,Positive,Positive
395,Positive,Positive,5,5,Positive,Positive
396,Positive,Positive,5,5,Positive,Positive
397,Positive,Positive,4,4,Positive,Positive
398,Positive,Positive,5,5,Positive,Positive
399,Negative,Positive,5,5,Positive,Positive
400,Positive,Positive,4,4,Positive,Positive
401,Positive,Positive,4,4,Positive,Positive
402,Positive,Positive,4,4,Positive,Positive
403,Negative,Negative,4,4,Positive,Positive
404,Positive,Positive,4,4,Positive,Positive
405,Positive,Positive,5,5,Positive,Positive
406,Positive,Positive,1,1,Negative,Negative
407,Negative,Negative,1,1,Negative,Negative
408,Positive,Positive,4,4,Positive,Positive
409,Positive,Positive,5,5,Positive,Positive
410,Positive,Positive,4,4,Positive,Positive
411,Negative,Negative,1,1,Negative,Negative
412,Positive,Positive,3,3,Neutral,Neutral
413,Negative,Negative,1,1,Negative,Negative
414,Positive,Positive,4,4,Positive,Positive
415,Positive,Positive,5,5,Positive,Positive
416,Negative,Negative,5,5,Positive,Positive
417,Positive,Positive,4,4,Positive,Positive
418,Negative,Negative,1,1,Negative,Negative
419,Negative,Negative,2,2,Negative,Negative
420,Positive,Positive,4,4,Positive,Positive
421,Negative,Negative,1,1,Negative,Negative
422,Positive,Positive,4,4,Positive,Positive
423,Positive,Positive,4,4,Positive,Positive
424,Negative,Negative,3,3,Neutral,Neutral
425,Positive,Negative,4,2,Positive,Negative
426,Positive,Positive,4,4,Positive,Positive
427,Negative,Negative,1,1,Negative,Negative
428,Positive,Positive,5,5,Positive,Positive
429,Positive,Positive,5,5,Positive,Positive
430,Positive,Positive,4,4,Positive,Positive
431,Positive,Positive,4,4,Positive,Positive
432,Neutral,Neutral,2,2,Negative,Negative
433,Positive,Positive,4,4,Positive,Positive
434,Positive,Positive,4,4,Positive,Positive
435,Positive,Positive,4,5,Positive,Positive
436,Negative,Negative,1,1,Negative,Negative
437,Positive,Positive,4,5,Positive,Positive
438,Positive,Positive,2,2,Negative,Negative
439,Positive,Positive,4,4,Positive,Positive
440,Positive,Positive,2,2,Negative,Negative
441,Positive,Positive,3,3,Neutral,Neutral
442,Neutral,Neutral,3,3,Neutral,Neutral
443,Negative,Negative,4,4,Positive,Positive
444,Negative,Negative,1,1,Negative,Negative
445,Positive,Positive,5,5,Positive,Positive
446,Positive,Positive,5,5,Positive,Positive
447,Positive,Positive,5,5,Positive,Positive
448,Positive,Positive,1,1,Negative,Negative
449,Positive,Positive,4,4,Positive,Positive
450,Negative,Negative,1,1,Negative,Negative
451,Positive,Positive,2,2,Negative,Negative
452,Positive,Positive,1,1,Negative,Negative
453,Neutral,Neutral,5,5,Positive,Positive
454,Negative,Negative,5,5,Positive,Positive
455,Positive,Positive,4,4,Positive,Positive
456,Positive,Positive,3,3,Neutral,Neutral
457,Positive,Positive,3,3,Neutral,Neutral
458,Positive,Positive,2,2,Negative,Negative
459,Negative,Negative,4,4,Positive,Positive
460,Positive,Positive,5,5,Positive,Positive
461,Negative,Negative,1,1,Negative,Negative
462,Positive,Positive,5,5,Positive,Positive
463,Negative,Negative,1,1,Negative,Negative
464,Negative,Negative,3,3,Neutral,Neutral
465,Positive,Positive,1,2,Negative,Negative
466,Positive,Positive,4,4,Positive,Positive
467,Negative,Negative,4,4,Positive,Positive
468,Positive,Positive,5,5,Positive,Positive
469,Positive,Positive,3,2,Neutral,Negative
470,Positive,Positive,3,3,Neutral,Neutral
471,Positive,Positive,5,5,Positive,Positive
472,Positive,Positive,5,5,Positive,Positive
473,Positive,Positive,4,4,Positive,Positive
474,Positive,Positive,5,5,Positive,Positive
475,Negative,Negative,1,1,Negative,Negative
476,Positive,Positive,5,5,Positive,Positive
477,Neutral,Neutral,5,5,Positive,Positive
478,Positive,Positive,4,4,Positive,Positive
479,Negative,Negative,3,2,Neutral,Negative
480,Negative,Negative,3,3,Neutral,Neutral
481,Negative,Negative,1,1,Negative,Negative
482,Positive,Positive,4,4,Positive,Positive
483,Negative,Negative,3,2,Neutral,Negative
484,Positive,Positive,1,1,Negative,Negative
485,Positive,Positive,5,5,Positive,Positive
486,Positive,Negative,1,1,Negative,Negative
487,Positive,Positive,5,5,Positive,Positive
488,Positive,Positive,5,5,Positive,Positive
489,Negative,Negative,2,2,Negative,Negative
490,Positive,Positive,5,5,Positive,Positive
491,Positive,Positive,3,3,Neutral,Neutral
492,Positive,Positive,5,5,Positive,Positive
493,Positive,Positive,4,4,Positive,Positive
494,Positive,Positive,5,5,Positive,Positive
495,Positive,Positive,5,5,Positive,Positive
496,Positive,Positive,4,4,Positive,Positive
497,Negative,Negative,4,4,Positive,Positive
498,Negative,Negative,5,5,Positive,Positive
499,Negative,Negative,4,5,Positive,Positive
500,Positive,Positive,5,5,Positive,Positive
501,Neutral,Neutral,3,3,Neutral,Neutral
502,Positive,Positive,4,4,Positive,Positive
503,Positive,Positive,4,4,Positive,Positive
504,Negative,Negative,3,3,Neutral,Neutral
505,Positive,Positive,5,5,Positive,Positive
506,Positive,Positive,3,3,Neutral,Neutral
507,Positive,Positive,3,3,Neutral,Neutral
508,Positive,Positive,5,5,Positive,Positive
509,Positive,Positive,4,2,Positive,Negative
510,Positive,Positive,5,5,Positive,Positive
511,Negative,Negative,4,4,Positive,Positive
512,Negative,Negative,2,2,Negative,Negative
513,Positive,Positive,5,5,Positive,Positive
514,Positive,Negative,2,2,Negative,Negative
515,Positive,Positive,4,4,Positive,Positive
516,Positive,Positive,2,2,Negative,Negative
517,Positive,Positive,5,5,Positive,Positive
518,Positive,Positive,5,5,Positive,Positive
519,Positive,Positive,3,3,Neutral,Neutral
520,Positive,Positive,5,5,Positive,Positive
521,Positive,Positive,1,1,Negative,Negative
522,Negative,Negative,1,1,Negative,Negative
523,Positive,Negative,2,2,Negative,Negative
524,Negative,Negative,1,1,Negative,Negative
525,Positive,Positive,5,5,Positive,Positive
526,Positive,Positive,5,5,Positive,Positive
527,Positive,Positive,5,5,Positive,Positive
528,Positive,Positive,5,5,Positive,Positive
529,Positive,Positive,3,3,Neutral,Neutral
530,Positive,Positive,5,5,Positive,Positive
531,Positive,Positive,5,5,Positive,Positive
532,Positive,Positive,5,5,Positive,Positive
533,Positive,Positive,4,4,Positive,Positive
534,Negative,Negative,1,1,Negative,Negative
535,Positive,Positive,5,5,Positive,Positive
536,Positive,Positive,5,5,Positive,Positive
537,Negative,Negative,1,1,Negative,Negative
538,Positive,Positive,5,5,Positive,Positive
539,Positive,Positive,5,5,Positive,Positive
540,Positive,Positive,4,4,Positive,Positive
541,Positive,Positive,5,5,Positive,Positive
542,Positive,Negative,4,4,Positive,Positive
543,Positive,Positive,4,4,Positive,Positive
544,Negative,Negative,1,1,Negative,Negative
545,Positive,Positive,5,5,Positive,Positive
546,Negative,Negative,2,2,Negative,Negative
547,Positive,Positive,3,3,Neutral,Neutral
548,Positive,Positive,5,5,Positive,Positive
549,Negative,Positive,4,4,Positive,Positive
550,Positive,Positive,4,4,Positive,Positive
551,Positive,Positive,2,2,Negative,Negative
552,Negative,Negative,2,2,Negative,Negative
553,Positive,Positive,1,1,Negative,Negative
554,Positive,Positive,4,4,Positive,Positive
555,Positive,Positive,5,5,Positive,Positive
556,Negative,Negative,2,2,Negative,Negative
557,Positive,Positive,5,5,Positive,Positive
558,Neutral,Neutral,4,4,Positive,Positive
559,Positive,Positive,4,5,Positive,Positive
560,Negative,Negative,4,2,Positive,Negative
561,Negative,Negative,1,1,Negative,Negative
562,Negative,Negative,3,3,Neutral,Neutral
563,Positive,Positive,2,2,Negative,Negative
564,Positive,Positive,5,5,Positive,Positive
565,Negative,Negative,5,5,Positive,Positive
566,Positive,Positive,4,4,Positive,Positive
567,Positive,Positive,5,5,Positive,Positive
568,Positive,Positive,5,5,Positive,Positive
569,Negative,Negative,1,1,Negative,Negative
570,Positive,Positive,5,5,Positive,Positive
571,Negative,Negative,1,1,Negative,Negative
572,Positive,Positive,5,5,Positive,Positive
573,Positive,Positive,5,5,Positive,Positive
574,Positive,Positive,5,5,Positive,Positive
575,Positive,Positive,5,5,Positive,Positive
576,Positive,Positive,5,5,Positive,Positive
577,Positive,Positive,4,4,Positive,Positive
578,Negative,Negative,4,4,Positive,Positive
579,Positive,Positive,5,5,Positive,Positive
580,Positive,Positive,5,5,Positive,Positive
581,Positive,Positive,5,5,Positive,Positive
582,Positive,Positive,5,5,Positive,Positive
583,Positive,Positive,5,5,Positive,Positive
584,Positive,Positive,1,1,Negative,Negative
585,Positive,Positive,3,3,Neutral,Neutral
586,Positive,Positive,4,4,Positive,Positive
587,Positive,Positive,5,5,Positive,Positive
588,Positive,Positive,4,4,Positive,Positive
589,Negative,Negative,3,3,Neutral,Neutral
590,Positive,Positive,3,3,Neutral,Neutral
591,Positive,Positive,5,5,Positive,Positive
592,Positive,Positive,5,5,Positive,Positive
593,Positive,Positive,4,4,Positive,Positive
594,Positive,Positive,3,3,Neutral,Neutral
595,Positive,Positive,5,4,Positive,Positive
596,Negative,Negative,5,5,Positive,Positive
597,Positive,Positive,5,5,Positive,Positive
598,Positive,Positive,3,3,Neutral,Neutral
599,Negative,Negative,1,1,Negative,Negative
600,Negative,Negative,1,1,Negative,Negative
601,Positive,Positive,5,5,Positive,Positive
602,Positive,Positive,4,5,Positive,Positive
603,Positive,Positive,3,3,Neutral,Neutral
604,Positive,Positive,3,3,Neutral,Neutral
605,Positive,Positive,5,5,Positive,Positive
606,Positive,Positive,5,5,Positive,Positive
607,Positive,Positive,4,4,Positive,Positive
608,Positive,Positive,5,5,Positive,Positive
609,Positive,Positive,5,5,Positive,Positive
610,Positive,Positive,5,5,Positive,Positive
611,Positive,Positive,5,5,Positive,Positive
612,Positive,Positive,2,2,Negative,Negative
613,Positive,Positive,5,5,Positive,Positive
614,Positive,Positive,5,5,Positive,Positive
615,Positive,Positive,5,5,Positive,Positive
616,Positive,Positive,3,3,Neutral,Neutral
617,Positive,Positive,4,4,Positive,Positive
618,Neutral,Neutral,5,5,Positive,Positive
619,Positive,Positive,5,5,Positive,Positive
620,Positive,Positive,5,5,Positive,Positive
621,Positive,Positive,4,4,Positive,Positive
622,Positive,Positive,4,4,Positive,Positive
623,Negative,Positive,1,1,Negative,Negative
