row_id,A1_sentiment,A1_score,A1_emotion,A1_asp_safety,A1_asp_pricing,A1_asp_service,A1_asp_cleanliness,A1_asp_atmosphere,A1_p_Aggressive_vendors,A1_p_Navigation_difficulty,A1_p_Getting_lost,A1_p_Bad_smell,A1_p_Overcrowding,A1_p_Poor_condition,A1_p_High_prices,A1_p_Scam,A1_p_Safety,A1_p_Other,A1_price_perception,A1_recommendation,A1_revisit,A2_sentiment,A2_score,A2_emotion,A2_asp_safety,A2_asp_pricing,A2_asp_service,A2_asp_cleanliness,A2_asp_atmosphere,A2_p_Aggressive_vendors,A2_p_Navigation_difficulty,A2_p_Getting_lost,A2_p_Bad_smell,A2_p_Overcrowding,A2_p_Poor_condition,A2_p_High_prices,A2_p_Scam,A2_p_Safety,A2_p_Other,A2_price_perception,A2_recommendation,A2_revisit
10863,Negative,2,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,1,1,0,0,0,Expensive,No,Not_mentioned,Negative,2,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,1,1,0,0,1,Expensive,No,Not_mentioned
6376,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,1,0,0,0,0,0,0,1,0,1,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Negative,Neutral,Not_mentioned,Positive,1,0,0,0,0,0,1,1,0,1,Expensive,Not_mentioned,Not_mentioned
6983,Negative,1,Disgust,Not_mentioned,Negative,Not_mentioned,Negative,Negative,1,0,0,1,0,1,1,0,0,0,Expensive,No,No,Negative,1,Disgust,Negative,Negative,Negative,Negative,Negative,1,0,0,1,0,0,1,0,1,1,Expensive,No,No
11083,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned
6219,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,1,0,0,0,0,0,0,0,0,0,Not_mentioned,No,Not_mentioned,Negative,1,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,1,0,0,0,0,0,0,0,0,0,Not_mentioned,No,Not_mentioned
1758,Negative,1,Anger,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,0,1,1,0,0,0,0,1,1,0,Not_mentioned,No,Not_mentioned,Negative,1,Anger,Negative,Not_mentioned,Negative,Not_mentioned,Negative,0,1,1,0,0,0,0,1,1,1,Not_mentioned,No,Not_mentioned
10276,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned,Negative,2,Frustration,Not_mentioned,Neutral,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned
1632,Negative,2,Neutral,Negative,Negative,Not_mentioned,Not_mentioned,Negative,0,0,0,0,1,0,1,0,1,0,Expensive,Not_mentioned,Not_mentioned,Negative,2,Fear,Negative,Neutral,Not_mentioned,Not_mentioned,Negative,0,0,0,0,1,0,0,0,1,1,Not_mentioned,Not_mentioned,Not_mentioned
12488,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Cheap,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Fair,Yes,Not_mentioned
2949,Neutral,3,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,1,0,0,0,0,1,0,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,1,1,Not_mentioned,Not_mentioned,Not_mentioned
2574,Negative,1,Disgust,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Negative,0,0,0,1,0,1,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned,Negative,1,Disgust,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Negative,0,0,0,1,0,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned
3025,Negative,2,Sadness,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned,Negative,1,Sadness,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned
3505,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Negative,Neutral,1,0,0,1,1,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,1,0,0,1,1,0,0,1,0,1,Not_mentioned,Not_mentioned,Not_mentioned
9526,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Yes,Not_mentioned
4020,Negative,2,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Neutral,1,0,0,0,0,0,1,1,0,0,Expensive,Not_mentioned,Not_mentioned,Negative,1,Disgust,Not_mentioned,Negative,Negative,Not_mentioned,Negative,1,0,0,0,0,0,1,1,0,1,Expensive,Yes,Not_mentioned
216,Negative,1,Disgust,Negative,Not_mentioned,Not_mentioned,Negative,Negative,0,0,0,1,1,1,0,0,1,1,Not_mentioned,No,Not_mentioned,Negative,1,Disgust,Negative,Not_mentioned,Not_mentioned,Negative,Negative,0,0,0,1,1,0,0,0,1,1,Not_mentioned,No,Not_mentioned
13493,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned
9124,Negative,2,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Negative,0,0,0,0,1,1,1,0,0,0,Expensive,No,Not_mentioned,Negative,1,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Negative,0,0,0,0,1,1,1,0,0,1,Expensive,Not_mentioned,Not_mentioned
3816,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned
2060,Neutral,3,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,1,0,0,0,0,1,0,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,1,1,Not_mentioned,Not_mentioned,Not_mentioned
6071,Positive,4,Joy,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Positive,0,1,0,0,0,0,1,0,0,0,Expensive,Not_mentioned,Yes,Positive,5,Joy,Not_mentioned,Negative,Positive,Not_mentioned,Positive,0,1,0,0,0,0,1,0,0,0,Expensive,Not_mentioned,Not_mentioned
5479,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,1,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
9159,Negative,2,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,1,1,0,0,0,Expensive,No,Not_mentioned,Negative,1,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,1,0,0,1,Expensive,No,Not_mentioned
10622,Neutral,3,Frustration,Not_mentioned,Neutral,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,1,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Negative,2,Frustration,Not_mentioned,Neutral,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,1,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned
12468,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
14536,Positive,4,Joy,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Neutral,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Yes,Not_mentioned
10132,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,1,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Neutral,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,1,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned
13580,Positive,4,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Cheap,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Cheap,Not_mentioned,Not_mentioned
380,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
12549,Positive,4,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Cheap,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Cheap,Not_mentioned,Not_mentioned
1190,Negative,1,Anger,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,0,0,0,0,0,0,0,1,0,1,Not_mentioned,No,Not_mentioned,Negative,1,Anger,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,0,0,0,0,0,0,0,1,0,1,Not_mentioned,Not_mentioned,Not_mentioned
11687,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Cheap,Not_mentioned,Not_mentioned,Positive,5,Surprise,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,1,0,0,0,0,Cheap,Not_mentioned,Not_mentioned
10965,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned
2918,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,5,Trust,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
1840,Negative,1,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,0,0,0,1,0,0,0,0,0,0,Not_mentioned,No,No,Negative,1,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,0,0,0,0,0,0,0,0,0,1,Not_mentioned,No,No
1973,Negative,1,Disgust,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Negative,0,0,0,1,0,0,0,0,0,0,Not_mentioned,No,Not_mentioned,Negative,1,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Negative,0,0,0,0,0,0,0,0,0,1,Not_mentioned,No,Not_mentioned
9477,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,0,0,0,0,1,0,0,0,0,1,Not_mentioned,No,Not_mentioned,Negative,2,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,1,0,0,0,0,1,Not_mentioned,No,Not_mentioned
248,Negative,1,Disgust,Not_mentioned,Negative,Not_mentioned,Negative,Negative,1,0,0,1,1,0,1,0,0,0,Expensive,Not_mentioned,Not_mentioned,Negative,1,Frustration,Negative,Negative,Neutral,Not_mentioned,Negative,0,0,0,0,1,0,1,0,1,1,Expensive,No,Not_mentioned
6116,Neutral,3,Neutral,Negative,Not_mentioned,Not_mentioned,Negative,Neutral,0,0,0,1,1,0,0,0,1,0,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Other,Negative,Not_mentioned,Not_mentioned,Negative,Neutral,0,0,0,1,1,0,0,0,1,1,Not_mentioned,Not_mentioned,Not_mentioned
11155,Positive,4,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Neutral,Not_mentioned,Neutral,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned
499,Neutral,3,Frustration,Negative,Negative,Not_mentioned,Not_mentioned,Positive,1,0,0,0,0,0,1,1,1,0,Expensive,Yes,Not_mentioned,Neutral,3,Frustration,Negative,Negative,Negative,Not_mentioned,Neutral,1,0,0,0,0,0,1,1,1,0,Expensive,Yes,Not_mentioned
3685,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,1,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,1,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned
13320,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned
1457,Negative,1,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,1,0,0,0,0,0,0,1,1,0,Not_mentioned,Not_mentioned,No,Negative,1,Fear,Negative,Not_mentioned,Negative,Not_mentioned,Negative,1,0,0,0,0,0,0,1,1,0,Not_mentioned,Not_mentioned,No
12066,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Yes,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
13861,Positive,4,Joy,Not_mentioned,Positive,Positive,Not_mentioned,Positive,0,0,0,0,1,0,0,0,0,0,Cheap,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Positive,Neutral,Not_mentioned,Positive,0,0,0,0,1,0,0,0,0,0,Fair,Yes,Not_mentioned
4231,Negative,2,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Not_mentioned,1,0,0,0,0,0,1,1,0,0,Expensive,Not_mentioned,Not_mentioned,Negative,2,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Not_mentioned,1,0,0,0,0,0,1,1,0,0,Expensive,Not_mentioned,Not_mentioned
5268,Neutral,3,Neutral,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Positive,1,1,1,0,0,0,0,1,1,0,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Neutral,Negative,Not_mentioned,Neutral,Not_mentioned,Positive,1,1,1,0,0,0,0,1,1,0,Not_mentioned,Not_mentioned,Not_mentioned
150,Negative,1,Anger,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,1,0,0,0,0,0,0,1,1,1,Not_mentioned,Not_mentioned,No,Negative,1,Fear,Negative,Negative,Negative,Not_mentioned,Negative,1,0,0,0,0,0,0,1,1,1,Not_mentioned,Not_mentioned,Not_mentioned
14307,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
10418,Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
13747,Neutral,3,Neutral,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,1,0,0,0,0,Fair,Not_mentioned,Not_mentioned,Positive,4,Neutral,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Fair,Not_mentioned,Not_mentioned
3345,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,1,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,4,Surprise,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,1,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
4039,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Yes,Not_mentioned
1158,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned
5737,Negative,2,Fear,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,1,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Negative,2,Fear,Negative,Not_mentioned,Negative,Not_mentioned,Negative,1,0,0,0,0,0,0,0,1,0,Not_mentioned,Yes,Not_mentioned
2158,Positive,4,Joy,Positive,Negative,Not_mentioned,Not_mentioned,Positive,1,0,0,0,0,0,1,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,4,Joy,Positive,Neutral,Neutral,Not_mentioned,Positive,1,0,0,0,0,0,0,0,0,0,Fair,Yes,Not_mentioned
11549,Neutral,3,Neutral,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,1,Cheap,No,Not_mentioned,Negative,2,Sadness,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,1,Cheap,No,Not_mentioned
2712,Positive,4,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,1,0,0,Cheap,Yes,Not_mentioned,Positive,4,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,1,0,0,Cheap,Yes,Not_mentioned
14203,Neutral,3,Sadness,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned,Negative,2,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned
6661,Negative,2,Disgust,Negative,Not_mentioned,Not_mentioned,Negative,Negative,0,1,1,1,1,0,0,0,1,1,Not_mentioned,Not_mentioned,Yes,Negative,2,Disgust,Negative,Not_mentioned,Not_mentioned,Negative,Negative,0,1,1,1,1,0,0,0,1,1,Not_mentioned,Not_mentioned,Yes
10869,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned
13539,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned
11720,Neutral,3,Neutral,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,0,Cheap,Yes,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,0,Cheap,Yes,Not_mentioned
12664,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
